iter	RMSE
0	188.3126879
1	187.5368416
2	186.699703
3	185.7972408
4	183.8022681
5	183.1602695
6	180.4486904
7	179.8699961
8	179.0349829
9	178.3055381
10	177.6106341
11	177.1431439
12	176.4377318
13	175.9281696
14	175.5803171
15	175.1581163
16	174.7947589
17	174.501892
18	173.6345333
19	173.3861459
20	173.1002289
21	172.8435785
22	172.6321013
23	172.3973909
24	172.1775567
25	171.9639828
26	171.8400513
27	169.9857207
28	169.7988891
29	168.3573563
30	167.7313418
31	167.5291808
32	167.3738825
33	167.2638709
34	167.0995912
35	166.9587779
36	166.8211677
37	166.7090871
38	166.419718
39	166.3052922
40	164.9280141
41	164.709536
42	162.9009375
43	162.7677032
44	162.7024139
45	162.5917504
46	162.5434106
47	160.2302472
48	159.203651
49	159.1330876
50	159.0388881
51	156.8078935
52	156.588082
53	156.4917011
54	154.9103396
55	154.8132782
56	154.7116904
57	154.5520557
58	154.4987591
59	154.3906728
60	153.9709133
61	153.5837501
62	153.3507329
63	151.6142085
64	150.5453343
65	149.5510363
66	149.4824287
67	147.4660984
68	147.2798353
69	147.1996596
70	147.1275807
71	145.1659408
72	145.1124064
73	145.0320203
74	144.9919265
75	144.1245919
76	143.9091384
77	143.66638
78	143.6049824
79	143.5571133
80	143.3278573
81	142.7131882
82	142.0824106
83	142.0327525
84	141.9883671
85	141.798554
86	139.948861
87	139.9055163
88	139.5559631
89	138.9274471
90	137.1632625
91	137.1351598
92	137.0877984
93	135.8823204
94	135.8298885
95	135.511911
96	135.4630373
97	135.1930374
98	135.1490829
99	134.5869294
100	134.5550552
101	134.4558979
102	134.4260642
103	134.389431
104	132.7349292
105	132.6780356
106	132.6398631
107	132.5987854
108	131.2928298
109	131.2409615
110	131.1639733
111	131.1180976
112	131.0553465
113	130.9981802
114	130.9307573
115	129.3681983
116	129.2481748
117	129.2232071
118	128.8212437
119	128.7991156
120	128.7746338
121	128.7577292
122	127.559306
123	127.492776
124	125.9816894
125	125.9319225
126	125.8857051
127	125.8611062
128	124.4000211
129	122.9941355
130	122.9634909
131	122.8961279
132	122.8401257
133	122.8024871
134	121.3829618
135	120.5914867
136	120.5693045
137	120.5540396
138	119.2364485
139	119.2001701
140	118.1560244
141	118.1345561
142	118.063752
143	118.0307681
144	117.9586
145	117.9073637
146	117.8528175
147	117.4018707
148	117.3801267
149	116.1346614
150	116.1101841
151	116.0337584
152	115.9586776
153	115.7670072
154	115.3824759
155	114.196561
156	113.054688
157	113.0077772
158	112.9716873
159	111.8577422
160	111.6508131
161	111.460336
162	111.4017193
163	111.3655109
164	111.0494853
165	111.0233609
166	110.6751135
167	110.6369112
168	110.6266024
169	110.5859469
170	109.5308159
171	108.5105686
172	107.71568
173	107.6593716
174	107.1229973
175	106.3620454
176	105.4348679
177	105.4150652
178	105.3561031
179	105.3429712
180	105.2670742
181	104.3692176
182	104.0453172
183	104.0074345
184	103.9469163
185	103.7356327
186	103.0742003
187	102.2204136
188	101.6199845
