iter	Passed	Remaining
0	53	52978
1	53	26902
2	54	18208
3	55	13863
4	56	11232
5	57	9485
6	58	8233
7	58	7290
8	59	6565
9	60	5973
10	61	5494
11	61	5095
12	62	4760
13	63	4469
14	64	4217
15	65	4000
16	65	3808
17	66	3636
18	67	3484
19	68	3345
20	69	3221
21	69	3106
22	70	3004
23	71	2909
24	72	2821
25	73	2742
26	73	2656
27	74	2584
28	75	2519
29	76	2459
30	76	2403
31	77	2349
32	78	2299
33	79	2254
34	80	2210
35	81	2170
36	81	2130
37	82	2091
38	83	2055
39	84	2022
40	85	1989
41	85	1958
42	86	1927
43	87	1901
44	88	1873
45	89	1847
46	89	1820
47	90	1797
48	91	1773
49	92	1751
50	92	1729
51	93	1709
52	94	1689
53	95	1670
54	96	1651
55	96	1634
56	97	1616
57	98	1600
58	99	1584
59	100	1569
60	101	1555
61	101	1541
62	102	1528
63	103	1514
64	104	1500
65	105	1487
66	105	1474
67	106	1462
68	107	1450
69	108	1439
70	109	1428
71	110	1417
72	110	1407
73	111	1396
74	112	1386
75	113	1376
76	114	1366
77	114	1356
78	115	1347
79	116	1337
80	117	1329
81	118	1321
82	118	1313
83	119	1305
84	120	1296
85	121	1288
86	122	1280
87	122	1273
88	123	1266
89	124	1258
90	125	1252
91	126	1245
92	127	1238
93	127	1231
94	128	1224
95	129	1218
96	130	1211
97	130	1205
98	131	1199
99	132	1192
100	133	1186
101	134	1180
102	134	1174
103	135	1168
104	136	1162
105	137	1157
106	138	1151
107	138	1146
108	139	1141
109	140	1135
110	141	1130
111	141	1125
112	142	1120
113	143	1115
114	144	1109
115	145	1105
116	145	1100
117	146	1094
118	147	1088
119	147	1083
120	148	1077
121	149	1072
122	149	1067
123	150	1062
124	151	1057
125	151	1052
126	152	1047
127	152	1042
128	153	1037
129	154	1033
130	155	1028
131	155	1023
132	156	1019
133	157	1014
134	157	1010
135	158	1006
136	158	1001
137	159	997
138	160	992
139	161	989
140	161	985
141	162	980
142	162	976
143	163	972
144	164	968
145	164	964
